"Variable","Estimate","SE","Z","p","CI"
"Intercept","-0.09","0.32","-0.28","0.78","[-0.72,  0.54]"
"Female","0.01","0.01","0.60","0.55","[-0.02,  0.04]"
"Natural environment: ABF vs Park","-0.14","0.20","-0.70","0.48","[-0.53,  0.25]"
"Natural environment: A vs BF","-0.35","0.49","-0.71","0.48","[-1.31,  0.61]"
"Natural environment: B vs F","0.07","0.31","0.22","0.83","[-0.54,  0.68]"
"Type of ES: SMCR vs SMD","0.15","0.18","0.87","0.38","[-0.19,  0.50]"
"Time between environments: Linear","0.97","0.62","1.57","0.12","[-0.24,  2.19]"
"Time between environments: Quad.","0.58","0.50","1.17","0.24","[-0.39,  1.56]"
"Time between environments: Cubic","-1.02","0.60","-1.71","0.09","[-2.19,  0.15]"
"Country: Asia vs USEurope","0.14","0.16","0.90","0.37","[-0.17,  0.45]"
"Country: US vs Europe","-0.08","0.27","-0.29","0.77","[-0.62,  0.46]"
"Sex: Mixed vs FemaleMale","-0.79","1.11","-0.72","0.47","[-2.96,  1.37]"
"Sex: Male vs Female","-2.16","2.11","-1.03","0.30","[-6.30,  1.97]"
"Baseline measurement: No vs Yes","0.13","0.22","0.61","0.54","[-0.29,  0.55]"
"Built environment: DowntownOther vs Residential","0.20","0.27","0.72","0.47","[-0.34,  0.73]"
"Built environment: Downtown vs Other","-0.40","0.51","-0.78","0.43","[-1.40,  0.60]"
